identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
TOGAF9-Tool-ConfReqts-CSQ__xls	xls	sheets	sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	28	5.18	0.1850	1.89	21	1	ok	middle-centre: marks displaced or reshaped (27.24% of page, x 0.07-0.84, y 0.14-0.63)	41	biff-reader-r98;chart-axisrot-r91;chart-geom-r108;chart-resid-r99;chart-secaxis;chart-slide-r117
schematicplaymar21__pptx	pptx	slides	slides/done-013/pptx/schematicplaymar21.pptx	21	5.12	0.2438	1.44	12	1	ok	bottom-right: a fill or background shading the reference has and we do not (10.13% of page, x 0.74-0.95, y 0.43-0.91)	5	dotnet;odp-chart-r72
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	pptx	slides	slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	24	5.11	0.2129	0.94	11	2	ok	middle-centre: ink we draw that the reference does not (3.57% of page, x 0.02-0.97, y 0.36-0.40)	4	slides-e-01;slides-f-01;slides-missing-01
schematicplay__pptx	pptx	slides	slides/done-014/pptx/schematicplay.pptx	21	5.10	0.2429	1.44	12	1	ok	bottom-right: a fill or background shading the reference has and we do not (10.13% of page, x 0.74-0.95, y 0.43-0.91)	13	dotnet;odp-chart-r72;odp-running-r71;pptx-field-r82
RegChangeReport__xlsx	xlsx	sheets	sheets/done-009/xlsx/RegChangeReport.xlsx	12	5.03	0.4192	1.39	2	5	ok	top-centre: ink we draw that the reference does not (4.18% of page, x 0.25-0.76, y 0.00-0.10)	11	dotnet;refdev-01;sheets-clip-01
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	docx	words	words/done-014/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	18	4.92	0.2733	0.47	6	1	ok		0	
hdss-bulletin-issue-285-25-june-2025__docx	docx	words	words/done-013/docx/hdss-bulletin-issue-285-25-june-2025.docx	10	4.85	0.4850	1.29	7	0	ok		10	L3-docx-reader;dotnet;rtf-heading-r98;words-continuous-header-r70;words-continuous-r72;words-ink-r67
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	pptx	slides	slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	51	4.83	0.0947	1.80	10	1	ok	middle-centre: the same marks in a different colour (7.92% of page, x 0.12-0.94, y 0.40-0.56)	4	dotnet;sheets-r55;slides-sym-01;user-review-slides-02
7-memento-2015-transports-aeriens-b__xls	xls	sheets	sheets/done-014/xls/7-memento-2015-transports-aeriens-b.xls	190	4.82	0.0254	0.54	29	6	ok	top-right: a fill or background shading the reference has and we do not (0.80% of page, x 0.80-0.94, y 0.21-0.27)	21	L6-sheets;dotnet;quantise-r120;sheet-last-r100;sheets-overflow-01;sheets-r32
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx	xlsx	sheets	sheets/done-012/xlsx/2025_Active_Civil_Airmen_Statistics_FINAL.xlsx	35	4.72	0.1349	0.49	23	8	ok	top-left: ink we draw that the reference does not (1.31% of page, x 0.04-0.33, y 0.09-0.15)	4	dotnet;ods-notes-r92;ods-residue-r95;sheets-d-01
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx	docx	words	words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	1	4.69	4.6900	4.69	1	1	ok	top-centre: ink we draw that the reference does not (11.26% of page, x 0.00-0.91, y 0.00-0.17)	0	
programs contact list as of 07-01-10__xls	xls	sheets	sheets/done-003/xls/programs contact list as of 07-01-10.xls	3	4.65	1.5500	2.07	3	3	ok	middle-centre: marks displaced or reshaped (50.83% of page, x 0.14-0.86, y 0.04-0.91)	3	L6-sheets;sheets-r26;sheets-r33
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	ppt	slides	slides/done-008/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	94	4.64	0.0494	0.61	35	1	ok		8	dotnet;escher-wordart-census;fontwork-reach;slides-b-01;slides-ink-r94;slides-r97
CSA_CCM_v1.2__xls	xls	sheets	sheets/done-007/xls/CSA_CCM_v1.2.xls	13	4.64	0.3569	1.30	12	0	ok		14	L6-sheets;dotnet;probes;quantise-r120;sheets-b011-01;sheets-c-01
cy01_state__xls	xls	sheets	sheets/done-009/xls/cy01_state.xls	36	4.60	0.1278	0.67	5	0	ok		3	sheets-clip-band;sheets-d-01;sheets-r31
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	4.49	0.4989	1.47	1	2	ok	middle-centre: marks displaced or reshaped (33.91% of page, x 0.04-0.96, y 0.22-0.94)	1	sheets-r53-totalsrow
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	ppt	slides	slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	55	4.42	0.0804	0.30	50	0	ok		4	dotnet;odp-master-r70;slides-final-r111;words-r58
redac-sas-201509-asisp-research__pptx	pptx	slides	slides/done-014/pptx/redac-sas-201509-asisp-research.pptx	45	4.36	0.0969	1.21	22	0	ok		4	odp-embed-r79;odp-running-r71;odp-visual-r80;slides-sym-01
97936__pptx	pptx	slides	slides/done-003/pptx/97936.pptx	15	4.35	0.2900	2.72	4	1	ok	middle-centre: ink we draw that the reference does not (19.90% of page, x 0.17-0.83, y 0.43-0.85)	0	
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	docx	words	words/extra-001/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	18	4.25	0.2361	0.95	10	3	ok	middle-centre: marks displaced or reshaped (39.27% of page, x 0.09-0.93, y 0.22-0.79)	1	dotnet
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	docx	words	words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	15	4.22	0.2813	0.68	5	1	ok		2	dotnet;odf-rowpitch-r72
bulletin__docx	docx	words	words/done-012/docx/bulletin.docx	14	4.15	0.2964	2.44	7	2	ok	top-centre: marks displaced or reshaped (23.42% of page, x 0.14-0.85, y 0.08-0.49)	129	L1-text-metrics;L3-docx-reader;L8-drawing;colour-r65;dotnet;emptypage-01
ghgp-supply-chain-initiative_20100323_wri__pptx	pptx	slides	slides/done-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	52	4.12	0.0792	1.64	40	4	ok	middle-right: ink we draw that the reference does not (9.45% of page, x 0.67-0.92, y 0.18-0.64)	6	dotnet;slides-missing-01;slides-subpath-paint;words-r53
CP-ETSO template_v2020__doc	doc	words	words/done-009/doc/CP-ETSO template_v2020.DOC	6	4.10	0.6833	1.27	6	2	ok	top-centre: marks displaced or reshaped (16.65% of page, x 0.14-0.85, y 0.08-0.42)	2	words-apo-table
1_tpr_template__from_fy14___docx	docx	words	words/done-014/docx/1_tpr_template__from_fy14_.docx	8	4.07	0.5088	3.68	8	1	ok	the whole page: marks displaced or reshaped (40.23% of page, x 0.06-0.91, y 0.14-0.99)	11	dotnet;rtf-gate-r71;words-d-01;words-e-01;words-r54
seihon_zassi_kikou_20221215__xlsx	xlsx	sheets	sheets/done-014/xlsx/seihon_zassi_kikou_20221215.xlsx	84	4.03	0.0480	0.66	4	0	ok		17	dotnet;ods-resid-r80;sheets-b011-01;sheets-r33;sheets-r34;sheets-r35
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx	docx	words	words/done-016/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	148	3.97	0.0268	0.43	50	3	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (3.26% of page, x 0.11-0.91, y 0.11-0.15)	5	dotnet;rtf-page-r77;words-continuous-header-r70;words-continuous-r72
066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec__pptx	pptx	slides	slides/chartset-013/pptx/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.pptx	5	3.95	0.7900	0.79	1	5	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	1	slides-r52
B2B-Center-Readiness-and-Student-Retention__pptx	pptx	slides	slides/done-011/pptx/B2B-Center-Readiness-and-Student-Retention.pptx	33	3.94	0.1194	0.57	27	2	ok		2	dotnet;words-r53
flying-by-numbers-presentation__pptx	pptx	slides	slides/done-007/pptx/flying-by-numbers-presentation.pptx	10	3.87	0.3870	0.63	8	10	ok	top-centre: a fill or background shading we draw and the reference does not (2.08% of page, x 0.00-1.00, y 0.13-0.15)	5	dotnet;slides-chart-02;slides-r59;slides-r60
FAAAIandtheArtandScienceofV&Vfinal__pptx	pptx	slides	slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	30	3.86	0.1287	0.75	7	0	ok		27	dotnet;odf-fontwork;slides-e-01;slides-extra-01;slides-f-01;slides-r51
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx	xlsx	sheets	sheets/done-012/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.xlsx	82	3.86	0.0471	0.82	4	0	ok		0	
BMFE-06-03 (Gerflor) Smoke Density and Toxicity__pptx	pptx	slides	slides/done-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	6	3.84	0.6400	3.56	3	2	ok	middle-right: ink we draw that the reference does not (17.68% of page, x 0.47-0.97, y 0.22-0.97)	1	dotnet
Application_Compliance_Checklist_5_Apr_2021__xlsx	xlsx	sheets	sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	14	3.81	0.2721	2.39	14	1	ok	top-centre: a fill or background shading the reference has and we do not (23.31% of page, x 0.08-0.91, y 0.04-0.34)	22	L6-sheets;cond-format-r96;dotnet;ods-page-r77;sheet-ink-r94;sheets-c-01
A_320__doc	doc	words	words/pagination-001/doc/A_320.doc	118	3.80	0.0322	0.39	112	1	ok		83	crop-wiring-01;dotnet;mismatch-classify-01;odt-page-r87;odt-resid-r77;odt-split-r82
REDAC Briefing_SSIT_CARA_08132014.ppt__pptx	pptx	slides	slides/done-010/pptx/REDAC Briefing_SSIT_CARA_08132014.ppt.pptx	14	3.73	0.2664	0.71	14	0	ok		2	slides-b-01;slides-solog-01
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	pptx	slides	slides/done-012/pptx/REDAC briefing March12-13-2014jemvbFINAL.ppt.pptx	25	3.73	0.1492	0.39	23	1	ok		2	slides-r51
DOE Interactive Exercise Presentation draft rev 2__pptx	pptx	slides	slides/done-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	10	3.60	0.3600	2.78	1	1	ok	middle-centre: ink we draw that the reference does not (11.08% of page, x 0.04-0.77, y 0.28-0.49)	0	
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	docx	words	words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	3.58	3.5800	3.58	1	1	ok	middle-centre: ink we draw that the reference does not (18.04% of page, x 0.06-0.90, y 0.29-0.62)	5	chart-inner-r110;chart-rest-r104;chart-smooth-r102;probes
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	doc	words	words/done-013/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	12	3.58	0.2983	1.24	6	2	ok	bottom-centre: marks displaced or reshaped (5.56% of page, x 0.13-0.86, y 0.70-0.80)	2	words-continuous-r72;words-r58
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc	doc	words	words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	6	3.56	0.5933	3.38	3	1	ok	middle-centre: marks displaced or reshaped (32.21% of page, x 0.05-0.97, y 0.25-0.76)	0	
Copy of Full deck with references Promotion of Outside Interests at Work final(1)__pptx	pptx	slides	slides/done-010/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	33	3.50	0.1061	1.46	12	3	ok	middle-centre: a solid area drawn differently (67.43% of page, x 0.00-0.99, y 0.20-1.00)	0	
644730BRI0mna000BOX361539B00public0__doc	doc	words	words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	5	3.45	0.6900	2.07	1	1	ok	middle-centre: marks displaced or reshaped (31.40% of page, x 0.04-0.95, y 0.23-0.93)	23	crop-wiring-01;dotnet;escher-wordart-census;fidelity-b-01;fontwork-reach;odt-page-r87
nabiyeleul_1_aviation_service_28_july_2020__pptx	pptx	slides	slides/done-006/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	9	3.44	0.3822	1.56	1	1	ok	top-centre: marks displaced or reshaped (15.62% of page, x 0.14-0.94, y 0.16-0.48)	0	
STC_WebList__xlsx	xlsx	sheets	sheets/done-016/xlsx/STC_WebList.xlsx	4372	3.42	0.0008	0.27	1468	1	ok		14	dotnet;ods-band-r75;ods-draw-r82;sheets-c-01;sheets-extra-01;sheets-r53-totalsrow
commander-authorisation-tasks-spreadsheet-october-2025__xlsx	xlsx	sheets	sheets/done-008/xlsx/commander-authorisation-tasks-spreadsheet-october-2025.xlsx	23	3.42	0.1487	1.18	6	0	ok		0	
introduction_to_bea_tuxedo__ppt	ppt	slides	slides/done-007/ppt/introduction_to_bea_tuxedo.ppt	40	3.33	0.0833	1.60	39	2	ok	middle-centre: marks displaced or reshaped (5.45% of page, x 0.13-0.86, y 0.33-0.46)	29	dotnet;font-class-01;gate-01;odp-master-r70;odp-running-r71;slides-b-01
Sample_SQMS_Program__docx	docx	words	words/done-015/docx/Sample_SQMS_Program.docx	61	3.28	0.0538	0.47	55	0	ok		30	dotnet;lineheight-01;odt-split-r82;rtf-heading-r98;rtf-holdover-r87;words-missing-01
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	ppt	slides	slides/done-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	36	3.28	0.0911	0.25	9	0	ok		0	
passiv__pptx	pptx	slides	slides/done-010/pptx/passiv.pptx	21	3.28	0.1562	1.49	6	6	ok	bottom-centre: marks displaced or reshaped (6.01% of page, x 0.06-0.93, y 0.71-0.86)	7	dotnet;slides-solog-01;slides-subpath-paint;slides-sym-01
Sylva%20introduction%20session__pptx	pptx	slides	slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	15	3.26	0.2173	0.62	5	3	ok	middle-centre: marks displaced or reshaped (1.15% of page, x 0.34-0.46, y 0.55-0.76)	6	dotnet;slides-r51;slides-rebase-01;slides-sym-01
Inducement-to-Insurance-Business__ppt	ppt	slides	slides/done-003/ppt/Inducement-to-Insurance-Business.ppt	22	3.24	0.1473	0.53	7	0	ok		9	dotnet;probes;slides-r100;slides-r99
attendance-updates-for-governors__pptx	pptx	slides	slides/done-004/pptx/attendance-updates-for-governors.pptx	30	3.19	0.1063	0.23	15	0	ok		3	slides-r54;slides-r55
067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647__pptx	pptx	slides	slides/chartset-012/pptx/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.pptx	4	3.16	0.7900	0.79	1	4	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)	1	slides-r52
architecture6__ppt	ppt	slides	slides/ceiling-001/ppt/architecture6.ppt	31	3.16	0.1019	0.82	10	1	ok		52	chart-slide-r117;dotnet;ppt-spacing-r115;probes;sheets-dateaxis-01;slide-table-r113
NPIAS_2007_App_A__xls	xls	sheets	sheets/done-012/xls/NPIAS_2007_App_A.xls	128	3.15	0.0246	0.07	59	0	ok		1	ods-track-r88
10. Drawings, circuit diagrams and schematics__pptx	pptx	slides	slides/done-007/pptx/10. Drawings, circuit diagrams and schematics.pptx	23	3.14	0.1365	0.22	7	0	ok		0	
Technical_Report_Elements[1]__pptx	pptx	slides	slides/done-014/pptx/Technical_Report_Elements[1].pptx	39	3.13	0.0803	0.73	31	3	ok	middle-left: marks displaced or reshaped (6.18% of page, x 0.05-0.48, y 0.55-0.74)	7	dotnet;slides-paint-01;slides-r51;vision-r68
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	docx	words	words/pagination-001/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	35	3.12	0.0891	1.05	11	1	ok	middle-centre: a fill or background shading we draw and the reference does not (3.87% of page, x 0.09-0.91, y 0.40-0.44)	3	words-character-scale;words-pagination-01
2023-qhp-form-and-rate-combined-checklist-final__xlsx	xlsx	sheets	sheets/done-011/xlsx/2023-qhp-form-and-rate-combined-checklist-final.xlsx	100	3.09	0.0309	0.27	4	3	ok		4	odf-rowpitch-r72;sheet-last-r100;sheets-b011-01
Sean Monogue__pptx	pptx	slides	slides/done-012/pptx/Sean Monogue.pptx	15	3.09	0.2060	0.40	12	0	ok		30	chart-axisrot-r91;dotnet;odp-embed-r79;odp-vision-r78;odp-visual-r80;slides-r55
3492__pptx	pptx	slides	slides/done-011/pptx/3492.pptx	22	3.08	0.1400	0.70	15	1	ok	middle-right: a fill or background shading we draw and the reference does not (4.09% of page, x 0.65-0.91, y 0.27-0.42)	28	dotnet;ods-page-r77;slides-b-01;slides-chart-02;slides-ink-r94;slides-r39
RNW167A-150428__doc	doc	words	words/done-007/doc/RNW167A-150428.doc	9	3.06	0.3400	0.71	8	2	ok	bottom-centre: ink missing from ours — a graphic, glyphs or a fill (3.48% of page, x 0.09-0.91, y 0.85-0.92)	1	words-version-screen
027_Simple_personal_cash_flow_statement_675c6584__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	10	2.98	0.2980	1.38	2	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (3.62% of page, x 0.23-0.52, y 0.26-0.41)	0	
088_Infographic_Quadrant_Pie_Chart_7b1e8abd__pptx	pptx	slides	slides/chartset-013/pptx/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.pptx	3	2.98	0.9933	1.53	1	2	ok	top-centre: marks displaced or reshaped (5.80% of page, x 0.07-0.68, y 0.02-0.17)	0	
1-secretariat__ppt	ppt	slides	slides/done-007/ppt/1-secretariat.ppt	10	2.97	0.2970	0.66	3	2	ok		23	dotnet;gate-01;slides-arch-01;slides-paint-01;slides-paint-b-01;slides-r103
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt	ppt	slides	slides/done-014/ppt/Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.ppt	26	2.97	0.1142	0.20	8	0	ok		1	user-review-slides-02
Course Selection 2025-26 Current Grade 09__pptx	pptx	slides	slides/done-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	10	2.92	0.2920	1.05	7	0	ok		6	dotnet;odp-chart-r72
NPIAS_App_A__xls	xls	sheets	sheets/done-014/xls/NPIAS_App_A.xls	124	2.92	0.0235	0.23	54	0	ok		10	dotnet;sheets-clip-band;sheets-d-01;sheets-r56;sheets-r57;sheets-rebase-02
gfopportunitiesforlinkagespres_2010_en__ppt	ppt	slides	slides/done-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	27	2.91	0.1078	0.59	27	0	ok		21	dotnet;ppt-autofit-r84;slides-arch-01;slides-final-r111;slides-r103;slides-r108
SIL_TDB648__xlsx	xlsx	sheets	sheets/pagination-001/xlsx/SIL_TDB648.xlsx	90	2.85	0.0317	0.35	68	2	ok		91	L6-sheets;dotnet;gate-r111;gate-r116;gate-r119;ink-pass-r92
A1. EASA Form 2__docx	docx	words	words/table-001/docx/A1. EASA Form 2.docx	7	2.80	0.4000	1.41	7	1	ok	middle-centre: marks displaced or reshaped (47.02% of page, x 0.05-0.97, y 0.09-0.77)	24	L3-docx-reader;dotnet;odt-split-r82;words-b008-01;words-r42;words-r43
A320SimNotes__doc	doc	words	words/metrics-001/doc/A320SimNotes.doc	42	2.79	0.0664	0.40	16	2	ok		22	dotnet;words-metrics-01;words-pages-01;words-r56;words-r58;words-r59
DOA_Template_Form_Type_Certification_Programme__docx	docx	words	words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	20	2.77	0.1385	0.84	18	3	ok	bottom-centre: ink we draw that the reference does not (4.97% of page, x 0.11-0.95, y 0.90-0.98)	9	dotnet;frame-area-r85;words-catalogue-bias;words-inline-canvas;words-margin-print-area;words-r45
Architecture__ppt	ppt	slides	slides/done-015/ppt/Architecture.ppt	29	2.72	0.0938	0.16	18	0	ok		29	L1-text-metrics;dotnet;font-class-01;odt-frame-r75;ppt-autofit-r84;rtf-heading-r98
system_design__technical_architecture_template__docx	docx	words	words/done-015/docx/system_design__technical_architecture_template.docx	17	2.64	0.1553	0.33	9	0	ok		6	rtf-page-r77;slides-r51;words-border-style;words-floating-table;words-r53
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	pptx	slides	slides/done-009/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	18	2.63	0.1461	0.47	3	1	ok	bottom-left: ink we draw that the reference does not (1.60% of page, x 0.07-0.44, y 0.80-0.85)	1	sheets-r37
section_1_our_rights_presentation__pptx	pptx	slides	slides/done-010/pptx/section_1_our_rights_presentation.pptx	30	2.60	0.0867	0.32	22	0	ok		12	dotnet;fidelity-b-01;pptx-field-r82;slides-b-01;slides-r54;slides-r55
Case-Study-Heathrow-Airport__docx	docx	words	words/done-009/docx/Case-Study-Heathrow-Airport.docx	3	2.58	0.8600	2.04	3	2	ok	top-centre: a solid area drawn differently (33.47% of page, x 0.05-0.95, y 0.00-0.43)	26	L3-docx-reader;dotnet;frame-area-r85;odf-rowpitch-r72;odt-frame-r75;odt-page-r87
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc	doc	words	words/done-011/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	20	2.57	0.1285	0.70	17	1	ok		9	dotnet;fonts-r64;rtf-page-r77;rtf-resid-r80;words-apo-table;words-aschar-band
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	docx	words	words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	2	2.56	1.2800	2.55	1	1	ok	top-centre: ink we draw that the reference does not (3.68% of page, x 0.25-0.75, y 0.02-0.20)	2	words-r62
report-template__docx	docx	words	words/pagination-001/docx/report-template.docx	20	2.55	0.1275	0.61	14	2	ok	top-centre: ink we draw that the reference does not (4.60% of page, x 0.17-0.87, y 0.09-0.16)	23	dotnet;rtf-heading-r98;words-continuous-header-r70;words-continuous-r72;words-d-01;words-p1-01
Agile_Arc_SysDes__docx	docx	words	words/done-015/docx/Agile_Arc_SysDes.docx	20	2.53	0.1265	1.51	1	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (0.73% of page, x 0.42-0.61, y 0.38-0.42)	9	L3-docx-reader;dotnet;words-firstpage-r70;words-r53;words-r58
RESPA_-_Section_8_Webinar__ppt	ppt	slides	slides/done-008/ppt/RESPA_-_Section_8_Webinar.ppt	35	2.53	0.0723	0.70	1	0	ok		15	L5-slides;dotnet;ppt-autofit-r84;slides-r100;slides-r103;slides-r54
berlin__ppt	ppt	slides	slides/done-005/ppt/berlin.ppt	29	2.50	0.0862	0.49	2	2	ok	middle-right: ink missing from ours — a graphic, glyphs or a fill (0.42% of page, x 0.70-0.78, y 0.57-0.64)	12	L5-slides;dotnet;slides-arch-01;slides-b-01;slides-r52;slides-r54
